GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	GO:0050434
GO_CARDIAC_CHAMBER_DEVELOPMENT	GO:0003205
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	GO:0045005
GO_CIRCADIAN_RHYTHM	GO:0007623
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	GO:0036150
GO_SPINAL_CORD_DEVELOPMENT	GO:0021510
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	GO:0048008
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	GO:0071402
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	GO:0030858
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	GO:0033674
GO_POTASSIUM_ION_TRANSPORT	GO:0006813
GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	GO:0050856
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	GO:0050680
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	GO:0052192
GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	GO:1903214
GO_APICAL_PROTEIN_LOCALIZATION	GO:0045176
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	GO:0090175
GO_FOREBRAIN_NEURON_DEVELOPMENT	GO:0021884
GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	GO:1903319
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	GO:0007528
GO_MITOTIC_CYTOKINESIS	GO:0000281
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	GO:1903573
GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	GO:0060395
GO_CYTOPLASMIC_TRANSLATION	GO:0002181
GO_MEIOTIC_CHROMOSOME_SEGREGATION	GO:0045132
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	GO:0051928
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	GO:2000779
GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS	GO:0006278
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GO:0050855
GO_DENDRITE_DEVELOPMENT	GO:0016358
GO_REGULATION_OF_RESPIRATORY_BURST	GO:0060263
GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	GO:0002031
GO_MEMORY	GO:0007613
GO_NEURON_DEVELOPMENT	GO:0048666
GO_REGULATION_OF_GOLGI_ORGANIZATION	GO:1903358
GO_ENDOTHELIAL_CELL_DEVELOPMENT	GO:0001885
GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	GO:0010831
GO_REGULATION_OF_CELL_ACTIVATION	GO:0050865
GO_MULTICELLULAR_ORGANISM_AGING	GO:0010259
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	GO:0043044
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	GO:0048646
GO_ION_TRANSPORT	GO:0006811
GO_LIPID_MODIFICATION	GO:0030258
GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT	GO:0090185
GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION	GO:2000345
GO_ACYLGLYCEROL_HOMEOSTASIS	GO:0055090
GO_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	GO:0031333
GO_HEMOGLOBIN_METABOLIC_PROCESS	GO:0020027
GO_SINGLE_FERTILIZATION	GO:0007338
GO_CHROMOSOME_ORGANIZATION	GO:0051276
GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY	GO:0043407
GO_SYNAPTIC_VESICLE_LOCALIZATION	GO:0097479
GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	GO:0018958
GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	GO:0050854
GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION	GO:0051294
GO_METANEPHRIC_NEPHRON_MORPHOGENESIS	GO:0072273
GO_RESPONSE_TO_UV_C	GO:0010225
GO_CARBOHYDRATE_CATABOLIC_PROCESS	GO:0016052
GO_DENTATE_GYRUS_DEVELOPMENT	GO:0021542
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT	GO:0010248
GO_LABYRINTHINE_LAYER_DEVELOPMENT	GO:0060711
GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION	GO:0006474
GO_CERAMIDE_CATABOLIC_PROCESS	GO:0046514
GO_EXCRETION	GO:0007588
GO_DIGESTION	GO:0007586
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GO:0051968
GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	GO:0045840
GO_HINDBRAIN_DEVELOPMENT	GO:0030902
GO_OLIGOSACCHARIDE_METABOLIC_PROCESS	GO:0009311
GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	GO:0061000
GO_CHROMOSOME_SEGREGATION	GO:0007059
GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	GO:1904030
GO_ETHER_METABOLIC_PROCESS	GO:0018904
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	GO:0002244
GO_CYTOKINE_METABOLIC_PROCESS	GO:0042107
